basin,local_nse,local_kge,ft_nse,ft_kge,group,seed,delta_nse_ft_minus_local,delta_kge_ft_minus_local
12013500,0.5993379354476929,0.5392920855712403,0.8625103235244751,0.7721776719898527,17,1001,0.2631723880767822,0.2328855864186123
12020000,0.4635175466537475,0.4182097146540737,0.7373005151748657,0.6527597902241734,17,1001,0.2737829685211182,0.2345500755700997
12025700,0.5502920150756836,0.4192404847598212,0.7501926422119141,0.5710056173129927,17,1001,0.1999006271362304,0.1517651325531715
12035000,0.4794633388519287,0.3388412458136636,0.8040136098861694,0.7017186498467287,17,1001,0.3245502710342407,0.3628774040330651
12040500,0.2952228188514709,0.1801954479656603,0.6546486616134644,0.5584272850446048,17,1001,0.3594258427619934,0.3782318370789445
12041200,0.3042861819267273,0.2591975637913674,0.6220122575759888,0.5931086650734608,17,1001,0.3177260756492615,0.3339111012820934
12048000,0.0115188360214233,0.4725561731426182,0.2333784699440002,0.607716533350197,17,1001,0.2218596339225768,0.1351603602075788
12054000,0.423686683177948,0.3798939142695283,0.5368537306785583,0.4881892687350281,17,1001,0.1131670475006103,0.1082953544654998
12056500,0.325778067111969,0.2468896431981251,0.5707737803459167,0.4602241260675039,17,1001,0.2449957132339477,0.2133344828693788
12073500,0.6377748250961304,0.5845732939647346,0.8146018385887146,0.8280571616275959,17,1001,0.1768270134925842,0.2434838676628613
12082500,0.4493382573127746,0.5572218650794449,0.6760513186454773,0.723217228606263,17,1001,0.2267130613327027,0.1659953635268181
12092000,0.284526526927948,0.5919607390986872,0.4935075640678406,0.7305922860452054,17,1001,0.2089810371398925,0.1386315469465182
12114500,0.457355260848999,0.4612149385855136,0.6527208089828491,0.6786243010572677,17,1001,0.1953655481338501,0.217409362471754
12115000,0.441002607345581,0.4369686834633162,0.6667945981025696,0.6568032403498956,17,1001,0.2257919907569885,0.2198345568865793
12117000,0.6162304878234863,0.6117826848311856,0.7538214921951294,0.8152855522593534,17,1001,0.137591004371643,0.2035028674281678
12143600,0.4667012691497803,0.4504236183770053,0.7105580568313599,0.6762929611284312,17,1001,0.2438567876815796,0.2258693427514259
12144000,0.5308053493499756,0.5327747188011933,0.7406944036483765,0.7355958299293717,17,1001,0.2098890542984008,0.2028211111281783
12145500,0.5585381984710693,0.4796341450871926,0.7917421460151672,0.6583435892175089,17,1001,0.2332039475440979,0.1787094441303163
12147500,0.3665655851364136,0.3381722072833878,0.5975388288497925,0.5184415443387251,17,1001,0.2309732437133789,0.1802693370553373
12167000,0.3864334225654602,0.3134315472922977,0.6028351783752441,0.4784441650432504,17,1001,0.2164017558097839,0.1650126177509526
12175500,0.4762065410614013,0.5387244413577198,0.6977144479751587,0.8283264191621027,17,1001,0.2215079069137573,0.2896019778043829
12178100,0.4748681187629699,0.4896324466797319,0.6543741226196289,0.6634672913414241,17,1001,0.179506003856659,0.1738348446616922
12186000,0.4133829474449157,0.4110976145874416,0.5884335041046143,0.4923619496610035,17,1001,0.1750505566596985,0.0812643350735619
12189500,0.4959237575531006,0.5818076508996588,0.6832733154296875,0.6840349612744017,17,1001,0.1873495578765869,0.1022273103747428
12375900,0.6005955934524536,0.776158509312323,0.7696583271026611,0.8603839778507991,17,1001,0.1690627336502075,0.0842254685384761
12377150,0.5675797462463379,0.5022573614918715,0.7662458419799805,0.691925437288874,17,1001,0.1986660957336425,0.1896680757970025
12381400,0.4195912480354309,0.3539534377294133,0.6218240261077881,0.6478985043889527,17,1001,0.2022327780723571,0.2939450666595394
12383500,-0.0121467113494873,0.4266515307197303,0.0139293074607849,0.4000292447382605,17,1001,0.0260760188102722,-0.0266222859814697
12390700,0.5012264251708984,0.5864683170867144,0.6178373694419861,0.735625743371011,17,1001,0.1166109442710876,0.1491574262842966
12411000,0.3840512037277221,0.4174705435870164,0.5503185987472534,0.482320399605188,17,1001,0.1662673950195313,0.0648498560181716
12447390,0.4242880940437317,0.4180673516350475,0.6824811697006226,0.5845550188405602,17,1001,0.2581930756568908,0.1664876672055126
12451000,0.5185590386390686,0.5523743724811419,0.8046224117279053,0.8590668042136018,17,1001,0.2860633730888366,0.3066924317324599
12488500,0.422659158706665,0.5786691572297145,0.6324286460876465,0.6952052549668436,17,1001,0.2097694873809815,0.1165360977371291
13011500,0.4854386448860168,0.4173323762775689,0.7831324934959412,0.6331712568028067,17,1001,0.2976938486099243,0.2158388805252378
13011900,0.5965275168418884,0.6748212068188457,0.8584135174751282,0.805181651574333,17,1001,0.2618860006332397,0.1303604447554872
13018300,0.7106986045837402,0.752362656938979,0.8344422578811646,0.8324220290551527,17,1001,0.1237436532974243,0.0800593721161737
13023000,0.8228985071182251,0.8889320678571576,0.8234633207321167,0.7714231361216904,17,1001,0.0005648136138916,-0.1175089317354671
13161500,0.5763557553291321,0.6360134695182016,0.6568268537521362,0.4994390772990713,17,1001,0.0804710984230041,-0.1365743922191303
13235000,0.7312667965888977,0.7314208579360358,0.8003682494163513,0.6879503395572011,17,1001,0.0691014528274536,-0.0434705183788347
13240000,0.3975089788436889,0.3675774492405242,0.8133806586265564,0.7782371105770544,17,1001,0.4158716797828675,0.4106596613365301
13313000,0.4456261992454529,0.5489461483446523,0.7910867929458618,0.8390899753413202,17,1001,0.3454605937004089,0.2901438269966679
13331500,0.6461209058761597,0.7743237828825158,0.7658165693283081,0.8672484860475127,17,1001,0.1196956634521484,0.0929247031649969
14020000,0.3047913908958435,0.2352879965981833,0.4245641827583313,0.3192300974574827,17,1001,0.1197727918624877,0.0839421008592994
14096850,0.5575246214866638,0.6424848959518833,0.6133626103401184,0.5523997896129755,17,1001,0.0558379888534545,-0.0900851063389077
14137000,0.5384389162063599,0.5908501028194135,0.7360026240348816,0.7791415398275608,17,1001,0.1975637078285217,0.1882914370081473
14138800,0.4190775156021118,0.3418701393763393,0.6522761583328247,0.5489595778102878,17,1001,0.2331986427307129,0.2070894384339485
14138870,0.5425716638565063,0.5100864837293786,0.7484253644943237,0.7204137180780426,17,1001,0.2058537006378173,0.2103272343486639
14138900,0.4351236820220947,0.374880086958022,0.7148106098175049,0.676459781169344,17,1001,0.2796869277954101,0.301579694211322
14139800,0.472614586353302,0.4050449002401867,0.7194036245346069,0.6728244394187224,17,1001,0.2467890381813049,0.2677795391785357
14141500,0.5727479457855225,0.5377300738053974,0.7881749868392944,0.8177216966168408,17,1001,0.2154270410537719,0.2799916228114434
14154500,0.6188791394233704,0.578962698563811,0.8161072731018066,0.8049924942996491,17,1001,0.1972281336784362,0.2260297957358381
14158790,0.4642502069473266,0.3734926281302501,0.6917780637741089,0.5867222358836202,17,1001,0.2275278568267822,0.21322960775337
14166500,0.7179915308952332,0.6514178294143383,0.8650919198989868,0.9299626369118688,17,1001,0.1471003890037536,0.2785448074975304
14182500,0.4083211421966553,0.3328016384749782,0.6301761865615845,0.5236164022334195,17,1001,0.2218550443649292,0.1908147637584413
14185000,0.5644856691360474,0.4876299045794691,0.7984747886657715,0.6957803797330211,17,1001,0.2339891195297241,0.208150475153552
14185900,0.4771066904067993,0.384411722881552,0.7158783078193665,0.5596864603946956,17,1001,0.2387716174125671,0.1752747375131436
14187000,0.648789644241333,0.5561749723220548,0.8599761724472046,0.8256130841952731,17,1001,0.2111865282058715,0.2694381118732183
14216500,0.4939589500427246,0.4815693804350721,0.6092649698257446,0.6973085987689835,17,1001,0.11530601978302,0.2157392183339114
14222500,0.586493968963623,0.54744083282914,0.8025678396224976,0.8263104487502849,17,1001,0.2160738706588745,0.2788696159211449
14236200,0.4901515245437622,0.3746005381172623,0.7353719472885132,0.6061701825221218,17,1001,0.2452204227447509,0.2315696444048595
14301000,0.6897584199905396,0.6392100036941123,0.8912047743797302,0.9391297259590042,17,1001,0.2014463543891906,0.2999197222648919
14303200,0.5042167901992798,0.4354990679120983,0.7899943590164185,0.7690856521401193,17,1001,0.2857775688171386,0.3335865842280209
14305500,0.4723042845726013,0.3257794845445039,0.7878984212875366,0.6302543028449288,17,1001,0.3155941367149353,0.3044748183004249
14306340,0.5619076490402222,0.4838582807307731,0.8315941095352173,0.8104323114136154,17,1001,0.2696864604949951,0.3265740306828423
14306500,0.701511561870575,0.6364862714169662,0.8918524384498596,0.940801038670258,17,1001,0.1903408765792846,0.3043147672532917
14308990,0.6291272640228271,0.5398472499494773,0.7764739990234375,0.6951858343639599,17,1001,0.1473467350006103,0.1553385844144825
14309500,0.6388921737670898,0.5819768851867115,0.8120440244674683,0.762419158803052,17,1001,0.1731518507003784,0.1804422736163404
14316700,0.5417715311050415,0.4520338317740472,0.7604303359985352,0.6791062743706435,17,1001,0.2186588048934936,0.2270724425965963
14325000,0.5553696155548096,0.5110953838732899,0.7432928085327148,0.6396105199567821,17,1001,0.1879231929779052,0.1285151360834922
14362250,0.4010384678840637,-0.3490136428550339,0.4834225177764892,-0.1904273342143732,17,1001,0.0823840498924254,0.1585863086406607
14400000,0.3115028142929077,0.1046039480479158,0.6235141158103943,0.3530785692449272,17,1001,0.3120113015174866,0.2484746211970114
10259000,0.3514947891235351,0.2979483213495421,0.6252252459526062,0.7757682907048165,18,1001,0.2737304568290711,0.4778199693552744
11124500,0.3577306866645813,0.2891351506391286,0.5832691192626953,0.6253260400655827,18,1001,0.225538432598114,0.3361908894264541
11141280,0.2552194595336914,0.1152304676807441,0.6473475694656372,0.5208894185395323,18,1001,0.3921281099319458,0.4056589508587882
11143000,0.1052796840667724,-0.0839100855209151,0.738667368888855,0.5301249653480585,18,1001,0.6333876848220825,0.6140350508689736
11148900,0.0774897933006286,-0.1609146773096026,0.5174374580383301,0.1973361303844478,18,1001,0.4399476647377014,0.3582508076940504
11151300,0.1405048370361328,-0.0375985753672398,0.7744745016098022,0.7002096894073759,18,1001,0.6339696645736694,0.7378082647746157
11176400,0.1674262881278991,0.0499034591839758,0.3877356052398681,0.1398469805453313,18,1001,0.220309317111969,0.0899435213613555
11230500,0.0367003679275512,-0.17036503468901,0.6551521420478821,0.4954632703807565,18,1001,0.6184517741203309,0.6658283050697664
11237500,0.1220313906669616,-0.0009734660775277,0.5864850878715515,0.5529646654258967,18,1001,0.4644536972045899,0.5539381315034244
11264500,0.1429881453514099,0.033732271986291,0.7677140235900879,0.7161273320712527,18,1001,0.624725878238678,0.6823950600849616
11266500,0.162004292011261,0.058596060981263,0.7958353161811829,0.7574474486410888,18,1001,0.6338310241699219,0.6988513876598258
11284400,0.1548371911048889,0.0161873137731906,0.6359557509422302,0.4927845282990486,18,1001,0.4811185598373413,0.476597214525858
11381500,0.176314115524292,0.1058771990964828,0.7062743902206421,0.7358829582833784,18,1001,0.5299602746963501,0.6300057591868955
11451100,0.1125810146331787,-0.0814804162392046,0.6185221076011658,0.4199836584042021,18,1001,0.5059410929679871,0.5014640746434067
11468500,0.1046624779701232,-0.0985415543695358,0.8114762902259827,0.7888068229871594,18,1001,0.7068138122558595,0.8873483773566953
11473900,0.1940478682518005,0.0764855237793216,0.7622587084770203,0.7857397721182448,18,1001,0.5682108402252197,0.7092542483389231
11475560,0.0543903708457946,-0.1550197758158233,0.6702180504798889,0.6306794418398074,18,1001,0.6158276796340943,0.7856992176556307
11476600,0.062760591506958,-0.1211708919554594,0.7497886419296265,0.7390314149241557,18,1001,0.6870280504226685,0.8602023068796151
11478500,0.0786057114601135,-0.0965566319819304,0.7755059599876404,0.7105032342406232,18,1001,0.6969002485275269,0.8070598662225537
11480390,0.1197080612182617,-0.0305901930872651,0.7191085815429688,0.5871489992270968,18,1001,0.599400520324707,0.6177391923143619
11481200,0.0737169384956359,-0.0823916719780242,0.7730385065078735,0.7500046045012118,18,1001,0.6993215680122377,0.832396276479236
11482500,0.1002076864242553,-0.0324102290662502,0.8062771558761597,0.7423107702011222,18,1001,0.7060694694519044,0.7747209992673725
11522500,0.2499186396598816,0.1835082249515484,0.77180415391922,0.7589215708227739,18,1001,0.5218855142593384,0.5754133458712255
11523200,0.1486638784408569,0.0420570201043679,0.6857982873916626,0.7328870180099631,18,1001,0.5371344089508057,0.6908299979055953
11528700,0.2290940284729004,0.1647247727500738,0.7719206809997559,0.7188285433980881,18,1001,0.5428266525268555,0.5541037706480143
11532500,-0.0317866802215576,-0.1897442841862469,0.7879894971847534,0.6853822463805279,18,1001,0.819776177406311,0.8751265305667748
